Time Structure Coil B-Sheet B-Bridge Bend Turn A-Helix 5-Helix 3-Helix
   0.595   275   104    36     5    44    52   182     5    12
     0.6   283    99    41     6    37    51   185     5    16
   0.605   274   102    35     8    45    49   182     0    19
    0.61   268   106    33     8    42    45   182     5    19
   0.615   265   105    34     8    46    38   185     5    19
    0.62   281   100    38     8    46    43   192     0    13
   0.625   268   101    38     8    45    40   182    10    16
    0.63   273    98    39     8    43    44   182     5    21
   0.635   271   103    37     8    43    45   181     5    18
    0.64   282   100    35     8    42    45   194     0    16
   0.645   271    95    40     8    54    37   186     5    15
    0.65   278    95    39     6    55    39   194     0    12
   0.655   276   103    35     8    43    46   187     0    18
    0.66   278    99    40     6    45    50   182     5    13
   0.665   280    96    38     8    45    52   182     5    14
    0.67   278   101    37     8    43    45   188     0    18
   0.675   288    97    39     8    43    49   192     0    12
    0.68   289   100    41     8    44    49   191     0     7
   0.685   278    99    34    10    43    52   182     5    15
    0.69   277   108    29    11    38    48   189     5    12
   0.695   277    99    36     8    44    47   186     5    15
     0.7   283   102    38     6    46    49   190     0     9
   0.705   279   104    35    10    40    48   186     5    12
    0.71   284   100    37     8    43    48   191     0    13
   0.715   280   103    34     8    45    48   190     0    12
    0.72   279    97    34    12    47    51   182     5    12
   0.725   281    97    39    10    45    43   189     5    12
    0.73   280   102    37     8    42    49   186     0    16
   0.735   280   105    30    10    41    57   183     5     9
    0.74   274    99    38     8    47    46   182     5    15
   0.745   273    96    39    10    45    40   184     5    21
    0.75   288    98    39     6    45    51   192     0     9
   0.755   285   101    34    10    45    51   190     0     9
    0.76   286    97    39    10    43    48   189     5     9
   0.765   280   100    34    10    44    43   193     0    16
    0.77   274   103    37     8    41    45   184     5    17
   0.775   273    95    34    10    49    48   181     5    18
    0.78   274   100    38     8    40    43   185     5    21
   0.785   281    98    37     8    44    53   183     5    12
    0.79   281   103    33    10    46    48   190     0    10
   0.795   273   102    33    10    45    45   185     5    15
     0.8   280   100    38     8    48    42   192     0    12
   0.805   271   103    34    10    48    39   188     5    13
    0.81   278    99    38     8    45    43   189     0    18
   0.815   274   100    38    10    45    36   190     5    16
    0.82   279    99    35     8    48    43   193     0    14
   0.825   272   109    33     8    40    42   189     5    14
    0.83   279   101    37     8    42    53   181     5    13
   0.835   276   104    37     6    41    47   186     5    14
    0.84   273   103    37     6    45    45   185     5    14
   0.845   281   102    40     8    39    48   185     5    13
    0.85   272   104    37     6    44    50   179     5    15
   0.855   275    99    37     8    46    43   187     5    15
    0.86   278   100    37    10    42    42   189     5    15
   0.865   277    99    34    10    47    46   187     5    12
    0.87   265   101    35     8    50    40   182     5    19
   0.875   280    99    37    10    44    49   184     5    12
    0.88   277    99    38     8    44    40   191     5    15
   0.885   275   107    31     9    38    51   184     0    20
    0.89   272    95    40     8    43    43   181     5    25
   0.895   268   102    37     8    42    47   176    10    18
     0.9   278   102    37     8    43    47   186     5    12
   0.905   275   105    33     8    49    46   188     5     6
    0.91   279    99    38     8    45    44   189     5    12
   0.915   271   106    34     6    45    50   181     5    13
    0.92   278   101    38     8    37    48   184     5    19
   0.925   274   102    37     8    43    43   186     5    16
    0.93   281    99    38     6    49    49   188     5     6
   0.935   283    99    38     8    43    55   182     5    10
    0.94   279    99    37     8    46    47   187     5    11
   0.945   278    99    39     8    48    44   187     5    10
    0.95   284    99    37     8    46    53   186     5     6
   0.955   272   100    37     4    51    47   184     5    12
    0.96   275   102    34     8    46    54   179     5    12
   0.965   280    99    37     6    47    40   197     0    14
    0.97   279    97    38     8    50    43   190     5     9
   0.975   280   102    36     7    49    46   191     0     9
    0.98   278    98    37     6    47    43   192     5    12
   0.985   280    96    38     8    47    50   184     5    12
    0.99   280   101    38     8    42    46   188     5    12
   0.995   283    95    38     8    45    51   186     5    12
       1   277    98    39     8    44    51   179     5    16
   1.005   279    98    38     8    46    46   187     5    12
    1.01   275    98    37     8    50    42   188     5    12
   1.015   265   103    25    11    49    43   186     5    18
    1.02   280    92    40     8    48    48   184     5    15
   1.025   280    95    42     6    46    46   186     5    14
    1.03   275    98    41     6    46    40   188     5    16
   1.035   275    99    34    10    44    45   186     5    17
    1.04   282    94    37    11    43    51   183     5    16
   1.045   277   100    34    10    42    50   183     5    16
    1.05   273   103    35     6    50    44   188     5     9
   1.055   280   105    38     4    44    49   189     5     6
    1.06   274   103    38     6    45    44   186     5    13
   1.065   283    97    42     6    45    45   190     0    15
    1.07   280    96    39     8    47    45   188     5    12
   1.075   267    99    35     8    50    41   183     5    19
    1.08   273   103    34     8    46    46   185     5    13
   1.085   277   103    39     6    43    51   181     5    12
    1.09   281    91    44     6    46    44   187     5    17
   1.095   281    96    45     6    40    40   190     5    18
     1.1   278   105    35     8    45    47   188     0    12
   1.105   287    94    45     6    45    54   182     5     9
    1.11   281    96    39     8    48    53   181     5    10
   1.115   281   100    38     8    42    47   188     5    12
    1.12   276    91    44     6    47    39   187    10    16
   1.125   281    96    42     6    42    44   189     5    16
    1.13   276    95    43     4    50    42   187     5    14
   1.135   270    97    41     6    47    42   181    10    16
    1.14   276    95    43     6    48    40   187     5    16
   1.145   279   101    35     8    41    59   177    10     9
    1.15   278   101    37     8    46    46   187     0    15
   1.155   284    99    39     8    43    51   186     5     9
    1.16   278    97    34    10    44    47   187     5    16
   1.165   278   101    34    10    44    45   189     5    12
    1.17   277   103    34     8    47    42   193     0    13
   1.175   278    96    38     8    45    48   184     5    16
    1.18   273   100    36     8    43    45   184     5    19
   1.185   271    99    41     6    45    43   181    10    15
    1.19   286    98    38     8    42    47   193     5     9
   1.195   277    95    43     6    41    44   184    10    17
     1.2   274    98    37     8    43    48   181    10    15
   1.205   279    99    37     8    45    46   188     5    12
    1.21   273   100    35     8    45    55   175    10    12
   1.215   274    99    34     8    46    44   188     5    16
    1.22   276    99    38     8    44    47   183     5    16
   1.225   268   100    35     8    47    36   189    10    15
    1.23   266   102    38     8    43    39   181    10    19
   1.235   275    99    33     9    46    45   188     5    15
    1.24   285    95    38     6    51    46   195     0     9
   1.245   262    99    35     8    48    43   176    10    21
    1.25   278   100    36     8    41    42   192     5    16
   1.255   273   101    34     8    43    42   189     5    18
    1.26   279    99    37     8    45    47   187     5    12
   1.265   268    97    39     8    48    40   181     5    22
    1.27   276    97    37     8    44    42   189     5    18
   1.275   281   102    34     8    42    47   192     0    15
    1.28   291   100    37     8    43    51   195     0     6
   1.285   270    97    37     8    49    44   181     5    19
    1.29   274    95    38     8    45    39   189    10    16
   1.295   280    91    41    10    46    42   187     5    18
     1.3   267    96    37     8    52    40   182    10    15
   1.305   272    96    37     8    49    46   181     5    18
    1.31   287    91    39     8    45    48   192     0    17
   1.315   269    98    31    10    48    46   182    10    15
    1.32   287    99    39     6    45    51   191     0     9
   1.325   273    99    34    10    44    43   186     5    19
    1.33   275    99    38     8    45    41   188     5    16
   1.335   274    98    37     8    43    41   188    10    15
    1.34   279    99    34     8    42    49   188     5    15
   1.345   275    96    38     8    47    47   182    10    12
    1.35   280    96    42     6    41    50   182    10    13
   1.355   273    94    41     4    54    44   184    10     9
    1.36   285    98    38     8    43    46   193     0    14
   1.365   276    96    38     8    48    47   183     5    15
    1.37   274    97    39    10    46    36   189     5    18
   1.375   282    97    36     8    47    53   185     5     9
    1.38   287    95    42     6    44    54   185     5     9
   1.385   276    96    35     8    47    49   184     5    16
    1.39   281    96    37     8    43    48   188     5    15
   1.395   287    96    39     8    43    51   189     5     9
     1.4   289    97    42     4    45    54   189     0     9
   1.405   278    95    39     9    44    53   177     5    18
    1.41   279   102    32     9    42    54   184     5    12
   1.415   276   101    34     8    46    50   184     5    12
    1.42   279   101    34     8    43    52   185     5    12
   1.425   272    98    34     8    50    46   184     5    15
    1.43   270    99    34    10    45    43   183    10    16
   1.435   271   101    34    10    45    37   190     5    18
    1.44   276    99    38     6    47    43   189     0    18
   1.445   279   101    35    12    39    48   184     5    16
    1.45   281    95    42     6    41    49   184     5    18
   1.455   280    94    39     8    45    47   186     0    21
    1.46   281    97    38     8    45    52   183     5    12
   1.465   279    98    34     8    45    49   188     0    18
    1.47   280    99    35    10    41    54   181     5    15
   1.475   280    96    37     8    42    51   184    10    12
    1.48   284    94    38     8    42    56   182     5    15
   1.485   277    99    38     8    44    45   186     5    15
    1.49   285    96    38     8    42    55   184     5    12
   1.495   276    98    37     8    46    50   181     5    15
     1.5   281    98    37     8    41    51   185     5    15
   1.505   279    94    39     8    47    46   186     5    15
    1.51   276    98    34    10    45    49   183     5    16
   1.515   283    97    39     8    46    56   180     5     9
    1.52   284    99    38     8    46    53   185     5     6
   1.525   275    97    34     8    48    51   182     5    15
    1.53   282    92    42     6    46    48   186     5    15
   1.535   274   100    34    10    44    43   187    10    12
